gene_id	gene_description	pathway	module	subheader	topic_ecosystem
GH1	GH1 beta-glucosidase (EC:3.2.1.21); beta-galactosidase (EC:3.2.1.23); beta-mannosidase (EC:3.2.1.25); beta-glucuronidase (EC:3.2.1.31); beta-xylosidase (EC:3.2.1.37); beta-D-fucosidase (EC:3.2.1.38); phlorizin hydrolase (EC:3.2.1.62); exo-beta-1,4-glucanase (EC:3.2.1.74); 6-phospho-beta-galactosidase (EC:3.2.1.85); 6-phospho-beta-glucosidase (EC:3.2.1.86); strictosidine beta-glucosidase (EC:3.2.1.105); lactase (EC:3.2.1.108); amygdalin beta-glucosidase (EC:3.2.1.117); prunasin beta-glucosidase (EC:3.2.1.118); vicianin hydrolase (EC:3.2.1.119); raucaffricine beta-glucosidase (EC:3.2.1.125); thioglucosidase (EC:3.2.1.147); beta-primeverosidase (EC:3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC:3.2.1.161); ABA-specific beta-glucosidase (EC:3.2.1.175); DIMBOA beta-glucosidase (EC:3.2.1.182); beta-glycosidase (EC:3.2.1.-); hydroxyisourate hydrolase (EC:3.-.-.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH2	GH2 beta-galactosidase (EC:3.2.1.23) ; beta-mannosidase (EC:3.2.1.25); beta-glucuronidase (EC:3.2.1.31); alpha-L-arabinofuranosidase (EC:3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC:3.2.1.152); exo-beta-glucosaminidase (EC:3.2.1.165); alpha-L-arabinopyranosidase (EC:3.2.1.-); beta-galacturonidase (EC:3.2.1.-); beta-xylosidase (EC:3.2.1.37); beta-D-galactofuranosidase (EC:3.2.1.146);	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH3	GH3 beta-glucosidase (EC:3.2.1.21); xylan 1,4-beta-xylosidase (EC:3.2.1.37); beta-glucosylceramidase (EC:3.2.1.45); beta-N-acetylhexosaminidase (EC:3.2.1.52); alpha-L-arabinofuranosidase (EC:3.2.1.55); glucan 1,3-beta-glucosidase (EC:3.2.1.58); glucan 1,4-beta-glucosidase (EC:3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC:3.2.1.120); coniferin beta-glucosidase (EC:3.2.1.126); exo-1,3-1,4-glucanase (EC:3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC:2.4.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH5	GH5 endo-beta-1,4-glucanase / cellulase (EC:3.2.1.4); endo-beta-1,4-xylanase (EC:3.2.1.8); beta-glucosidase (EC:3.2.1.21); beta-mannosidase (EC:3.2.1.25); beta-glucosylceramidase (EC:3.2.1.45); glucan beta-1,3-glucosidase (EC:3.2.1.58); licheninase (EC:3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC:3.2.1.74); glucan endo-1,6-beta-glucosidase (EC:3.2.1.75); mannan endo-beta-1,4-mannosidase (EC:3.2.1.78); cellulose beta-1,4-cellobiosidase (EC:3.2.1.91); steryl beta-glucosidase (EC:3.2.1.104); endoglycoceramidase (EC:3.2.1.123); chitosanase (EC:3.2.1.132); beta-primeverosidase (EC:3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC:3.2.1.151); endo-beta-1,6-galactanase (EC:3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC:3.2.1.168); beta-1,3-mannanase (EC:3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC:3.2.1.-); mannan transglycosylase (EC:2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73); beta-glycosidase (EC:3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC:3.2.1.39); beta-N-acetylhexosaminidase (EC:3.2.1.52); chitosanase (EC:3.2.1.132); beta-D-galactofuranosidase (EC:3.2.1.146);	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH9	GH9 endoglucanase (EC:3.2.1.4); endo-beta-1,3(4)-glucanase / lichenase-laminarinase (EC:3.2.1.6); beta-glucosidase (EC:3.2.1.21); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC:3.2.1.74); cellobiohydrolase (EC:3.2.1.91); xyloglucan-specific endo-beta-1,4-glucanase / endo-xyloglucanase (EC:3.2.1.151); exo-beta-glucosaminidase (EC:3.2.1.165)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH16	GH16 xyloglucan:xyloglucosyltransferase (EC:2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC:3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC:3.2.1.39); endo-1,3(4)-beta-glucanase (EC:3.2.1.6); licheninase (EC:3.2.1.73); beta-agarase (EC:3.2.1.81); kappa;-carrageenase (EC:3.2.1.83); xyloglucanase (EC:3.2.1.151); endo-beta-1,3-galactanase (EC:3.2.1.181); [retaining] beta-porphyranase (EC:3.2.1.178); hyaluronidase (EC:3.2.1.35); endo-beta-1,4-galactosidase (EC:3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC:2.4.1.-); beta-transglycosidase (EC:2.4.1.-); beta-glycosidase (EC:3.2.1.-); endo-beta-1,3-galactanase (EC:3.2.1.181)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH116	GH116 beta-glucosidase (EC:3.2.1.21); beta-xylosidase (EC:3.2.1.37); acid beta-glucosidase/beta-glucosylceramidase (EC:3.2.1.45); beta-N-acetylglucosaminidase (EC:3.2.1.52)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH6	GH6 endoglucanase (EC:3.2.1.4); cellobiohydrolase (EC:3.2.1.91)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH8	GH8 chitosanase (EC:3.2.1.132); cellulase (EC:3.2.1.4); licheninase (EC:3.2.1.73); endo-1,4-beta-xylanase (EC:3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC:3.2.1.156)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH10	GH10 endo-1,4-beta-xylanase (EC:3.2.1.8); endo-1,3-beta-xylanase (EC:3.2.1.32); tomatinase (EC:3.2.1.-); xylan endotransglycosylase (EC:2.4.2.-); endo-beta-1,4-glucanase (EC:3.2.1.4)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH124	GH124 endoglucanase (EC:3.2.1.4)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH12	GH12 endoglucanase (EC:3.2.1.4); xyloglucan hydrolase (EC:3.2.1.151); beta-1,3-1,4-glucanase (EC:3.2.1.73); xyloglucan endotransglycosylase (EC:2.4.1.207)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH44	GH44 endoglucanase (EC:3.2.1.4); xyloglucanase (EC:3.2.1.151)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH45	GH45 endoglucanase (EC:3.2.1.4); xyloglucan-specific endo-beta-1,4-glucanase / endo-xyloglucanase (EC:3.2.1.151); endo-beta-1,4-mannanase (EC:3.2.1.78)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH7	GH7 endo-beta-1,4-glucanase (EC:3.2.1.4); reducing end-acting cellobiohydrolase (EC:3.2.1.176); chitosanase (EC:3.2.1.132); endo-beta-1,3-1,4-glucanase (EC:3.2.1.73)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH48	GH48 reducing end-acting cellobiohydrolase (EC:3.2.1.176); endo-beta-1,4-glucanase (EC:3.2.1.4); chitinase (EC:3.2.1.14)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
AA10	AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); some proteins have been shown to act on chitin, others on cellulose; lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating)(EC:1.14.99.56); lytic chitin monooxygenase (EC:1.14.99.53)	Auxiliary Activities	Carbon Processing	Fiber Degradation	gut
AA15	AA15 lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54); lytic chitin monooxygenase (EC:1.14.99.53)	Auxiliary Activities	Carbon Processing	Fiber Degradation	gut
AA16	AA16 Lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54)	Auxiliary Activities	Carbon Processing	Fiber Degradation	gut
AA9	AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of carbons C1 and/or C4 and C-6); lytic cellulose monooxygenase (C1-hydroxylating) (EC:1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating) (EC:1.14.99.56)	Auxiliary Activities	Carbon Processing	Fiber Degradation	gut
AA11	AA11 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of chitin chains with oxidation of C-1 has been demonstrated for a AA11 LPMO from Aspergillus oryzae;	Auxiliary Activities	Carbon Processing	Fiber Degradation	gut
AA13	AA13 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of starch with oxidation of C-1 at the site of cleavage has been demonstrated for the LPMO encoded by gene NCU08746 from Neurospora crassa;	Auxiliary Activities	Carbon Processing	Fiber Degradation	gut
GH113	GH113 beta-mannanase (EC:3.2.1.78)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH134	GH134 endo-beta-1,4-mannanase (EC:3.2.1.78);	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH26	GH26 beta-mannanase (EC:3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC:3.2.1.100); beta-1,3-xylanase (EC:3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73); mannobiose-producing exo-beta-mannanase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH130	GH130 beta-1,4-mannosylglucose phosphorylase (EC:2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC:2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC:2.4.1.320); beta-1,2-mannobiose phosphorylase (EC:2.4.1.-); beta-1,2-oligomannan phosphorylase (EC:2.4.1.-); beta-1,2-mannosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
CE2	CE2 acetyl xylan esterase (EC:3.1.1.72).	Carbohydrate Esterases	Carbon Processing	Fiber Degradation	gut
CE17	acetyl mannan esterase [EC:3.1.1.-]	Carbohydrate Esterases	Carbon Processing	Fiber Degradation	gut
GH99	GH99 glycoprotein endo-alpha-1,2-mannosidase (EC:3.2.1.130); mannan endo-1,2-alpha-mannanase (3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH76	GH76 alpha-1,6-mannanase (EC:3.2.1.101); alpha-glucosidase (EC:3.2.1.20)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH92	GH92 mannosyl-oligosaccharide alpha-1,2-mannosidase (EC:3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC:3.2.1.-); mannosyl-oligosaccharide alpha-1,6-mannosidase (EC:3.2.1.-); alpha-mannosidase (EC:3.2.1.24); alpha-1,2-mannosidase (EC:3.2.1.-); alpha-1,3-mannosidase (EC:3.2.1.-); alpha-1,4-mannosidase (EC:3.2.1.-); mannosyl-1-phosphodiester alpha-1,P-mannosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH38	GH38 alpha-mannosidase (EC:3.2.1.24); mannosyl-oligosaccharide alpha-1,2-mannosidase (EC:3.2.1.113); mannosyl-oligosaccharide alpha-1,3-1,6-mannosidase (EC:3.2.1.114); alpha-2-O-mannosylglycerate hydrolase (EC:3.2.1.170); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH63	GH63 processing alpha-glucosidase (EC:3.2.1.106); alpha-1,3-glucosidase (EC:3.2.1.84); alpha-glucosidase (EC:3.2.1.20); mannosylglycerate alpha-mannosidase / mannosylglycerate hydrolase (EC:3.2.1.170); glucosylglycerate hydrolase (EC:3.2.1.208)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH47	GH47 alpha-mannosidase (EC:3.2.1.113)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH125	GH125 exo-alpha-1,6-mannosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH74	GH74 endoglucanase (EC:3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC:3.2.1.150); xyloglucanase (EC:3.2.1.151)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH31	GH31 alpha-glucosidase (EC:3.2.1.20); alpha-galactosidase (EC:3.2.1.22); alpha-mannosidase (EC:3.2.1.24); alpha-1,3-glucosidase (EC:3.2.1.84); sucrase-isomaltase (EC:3.2.1.48) (EC:3.2.1.10); alpha-xylosidase (EC:3.2.1.177); alpha-glucan lyase (EC:4.2.2.13); isomaltosyltransferase (EC:2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC:2.4.1.161); sulfoquinovosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH43	GH43 beta-xylosidase (EC:3.2.1.37); alpha-L-arabinofuranosidase (EC:3.2.1.55); xylanase (EC:3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC:3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC:3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC:3.2.1.-); beta-1,3-xylosidase (EC:3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC:3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC:3.2.1.99); exo-beta-1,3-galactanase (EC:3.2.1.145); beta-D-galactofuranosidase (EC:3.2.1.146)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH11	GH11 endo-beta-1,4-xylanase (EC:3.2.1.8); endo-beta-1,3-xylanase (EC:3.2.1.32)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH51	GH51 endoglucanase (EC:3.2.1.4); endo-beta-1,4-xylanase (EC:3.2.1.8); beta-xylosidase (EC:3.2.1.37); alpha-L-arabinofuranosidase (EC:3.2.1.55); lichenase / endo-beta-1,3-1,4-glucanase (EC:3.2.1.73)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
CE1	CE1 acetyl xylan esterase (EC:3.1.1.72); cinnamoyl esterase (EC:3.1.1.-); feruloyl esterase (EC:3.1.1.73); carboxylesterase (EC:3.1.1.1); S-formylglutathione hydrolase (EC:3.1.2.12); diacylglycerol O-acyltransferase (EC:2.3.1.20); trehalose 6-O-mycolyltransferase (EC:2.3.1.122)	Carbohydrate Esterases	Carbon Processing	Fiber Degradation	gut
CE4	CE4 acetyl xylan esterase (EC:3.1.1.72); chitin deacetylase (EC:3.5.1.41); chitooligosaccharide deacetylase (EC:3.5.1.-); peptidoglycan GlcNAc deacetylase (EC:3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC:3.5.1.-).	Carbohydrate Esterases	Carbon Processing	Fiber Degradation	gut
GH28	GH28 polygalacturonase (EC:3.2.1.15); alpha-L-rhamnosidase (EC:3.2.1.40); exo-polygalacturonase (EC:3.2.1.67); exo-polygalacturonosidase (EC:3.2.1.82); rhamnogalacturonase (EC:3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC:3.2.1.173); endo-xylogalacturonan hydrolase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
PL1	PL1 pectate lyase (EC:4.2.2.2); exo-pectate lyase (EC:4.2.2.9); pectin lyase (EC:4.2.2.10).	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL2	PL2 pectate lyase (EC:4.2.2.2); exo-polygalacturonate lyase (EC:4.2.2.9).	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL3	PL3 pectate lyase (EC:4.2.2.2).	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL4	PL4 rhamnogalacturonan endolyase (EC:4.2.2.23).	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL9	PL9 pectate lyase (EC:4.2.2.2); exopolygalacturonate lyase (EC:4.2.2.9); thiopeptidoglycan lyase (EC:4.2.2.-).	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL10	PL10 pectate lyase (EC:4.2.2.2)	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL11	PL11 rhamnogalacturonan endolyase (EC:4.2.2.23); rhamnogalacturonan exolyase (EC:4.2.2.24)	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL22	PL22 oligogalacturonate lyase / oligogalacturonide lyase (EC:4.2.2.6)	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
PL26	PL26 rhamnogalacturonan exolyase (EC:4.2.2.24).	Polysaccharide Lyases	Carbon Processing	Fiber Degradation	gut
GH78	GH78 alpha-L-rhamnosidase (EC:3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC:3.2.1.174); L-Rhap-alpha-1,3-D-Apif -specific alpha-1,3-L-rhamnosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH106	GH106 alpha-L-rhamnosidase (EC:3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC:3.2.1.174)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH138	GH138 alpha-galacturonidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH139	GH139 alpha-2-O-Me-L-fucosidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH143	GH143 2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
CE8	CE8 pectin methylesterase (EC:3.1.1.11).	Carbohydrate Esterases	Carbon Processing	Fiber Degradation	gut
GH105	GH105 unsaturated rhamnogalacturonyl hydrolase (EC:3.2.1.172); d-4,5-unsaturated beta-glucuronyl hydrolase (EC:3.2.1.-); d-4,5-unsaturated alpha-galacturonidase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
GH4	GH4 maltose-6-phosphate glucosidase (EC:3.2.1.122); alpha-glucosidase (EC:3.2.1.20); alpha-galactosidase (EC:3.2.1.22); 6-phospho-beta-glucosidase (EC:3.2.1.86); alpha-glucuronidase (EC:3.2.1.139); alpha-galacturonase (EC:3.2.1.67); palatinase (EC:3.2.1.-)	Glycoside Hydrolases	Carbon Processing	Fiber Degradation	gut
CE12	CE12 pectin acetylesterase (EC:3.1.1.-); rhamnogalacturonan acetylesterase (EC:3.1.1.-); acetyl xylan esterase (EC:3.1.1.72)	Carbohydrate Esterases	Carbon Processing	Fiber Degradation	gut
GH33			Carbon Processing	Mucin glycan degradation	gut
GH29			Carbon Processing	Mucin glycan degradation	gut
GH95			Carbon Processing	Mucin glycan degradation	gut
GH20			Carbon Processing	Mucin glycan degradation	gut
GH35			Carbon Processing	Mucin glycan degradation	gut
GH84			Carbon Processing	Mucin glycan degradation	gut
GH85			Carbon Processing	Mucin glycan degradation	gut
GH89			Carbon Processing	Mucin glycan degradation	gut
GH101			Carbon Processing	Mucin glycan degradation	gut
GH129			Carbon Processing	Mucin glycan degradation	gut
GH42			Carbon Processing	Mucin glycan degradation	gut
GH98			Carbon Processing	Mucin glycan degradation	gut
